00:00:varna: 我这辈子也没见过电脑巫妖开大呢，说不定这次能知道他们其实是会放大的……
15:13:T2: 就是讽刺
15:13:T2: 2333
15:13:lh_bot: T2: 有所谓
15:13:beefcafe: soga
15:13:lh_bot: 你如果认为专业能力不重要  结果也没有锻炼别的能力  你就是个 loser
15:13:T2: 我没觉得不重要啊
15:13:lh_bot: 这很显然   跑部钱进也是能力
15:13:hoxily joined channel
15:14:lh_bot: T2: 那你为什么还整天抱怨这抱怨那
15:14:T2: 嗯
15:14:lh_bot: 你需要学习的东西还很多啊
15:14:T2: 这真不是抱怨
15:14:lhanjian: T2, 技术本身跟意识形态没关系，你总拿意识形态当借口阻碍自己学习技术。
15:14:T2: 好吧好像也是抱怨
15:14:T2: lhanjian: 没，我在学。
15:14:lhanjian: 你要是想跳出天朝，那就好好搞技术早日到境外工作
15:14:T2: 有什么区别啊
15:14:T2: 艹艹艹
15:14:shaw1 left channel:
15:15:T2: 你们在想些什么东西
15:16:T2: 算了，我觉得你们压根没明白我在说什么。
15:17:T2: 外国的月亮有多圆劳资不清楚
15:17:T2: 但是对我来说肯定不会比国内圆多少
15:17:lh_bot: 我也不想出国啊
15:17:T2: 这个我还是清楚地
15:18:T2: 说的不是这个问题
15:18:lh_bot: 我觉得吧  试图改变环境的人很愚蠢  真的
15:18:lh_bot: 这个东西不是没可能  但是可能性太低
15:18:T2: 谁都看戏就不愚蠢了？
15:18:lh_bot: 所以适应不了环境的人绝大多数只会被淘汰
15:18:varna quit:Read error: Connection reset by peer
15:19:T2: 算了，我先自保。
15:19:FrankHB: 改变不了环境的活该挨艹。
15:19:lh_bot: FrankHB: 一边吱吱去
15:19:varna joined channel
15:19:T2: 援交球说的没错
15:19:FrankHB: 尼玛控制台窗口关闭按钮点了到底干了些啥。。。
15:19:lh_bot: T2: 你得看你有没有能力拍板
15:20:T2: 会有的
15:20:lh_bot: 没错  另外  总有些东西你不可控
15:20:lh_bot: 你可控的这么想没问题
15:20:T2: 嗯
15:20:lh_bot: 不可控的你必须接受
15:20:lh_bot: 想多了也没用  浪费时间
15:20:T2: 我知道，我是傻不是蠢。
15:20:T2: 嗯
15:20:lh_bot: 你不是傻  你就是想太多
15:21:lh_bot: 好谋而无决
15:21:T2: 被逼的，2333。
15:21:T2: 不是，这个真不是。
15:21:T2: 我不知道怎么说
15:21:T2: 总之反正开始撸了，会好的。
15:22:lh_bot: 你自己有点想法 但是别光说不做
15:22:T2: 嗯
15:22:FrankHB: 尼玛找不到文档直接艹reactos算了。
15:22:lh_bot: 艹帝球
15:22:FrankHB: 吱汝妹。
15:22:lh_bot: FrankHB: 点关闭按钮调用当前进程的 Ctrl Handler
15:23:lh_bot: FrankHB: http://msdn.microsoft.com/en-us/library/ms686016(VS.85).aspx
15:23:lh_bot: 在当前进程中开一个线程调用指定函数
15:23:lh_bot: 传给回调函数的第一个参数是 CTRL_CLOSE_EVENT
15:24:lh_bot: 帝球大烧饼
15:24:FrankHB: 果然是傻逼CTRL_CLOSE_EVENT有race。
15:27:lh_bot: 帝球大烧饼
15:27:lh_bot: FrankHB: Remarks
15:27:lh_bot: Because the system creates a new thread in the process to execute the handler function, it is possible that the handler function will be terminated by another thread in the process. Be sure to synchronize threads in the process with the thread for the handler function.
15:28:POPOBE joined channel
15:28:lh_bot: POPOBE: 妹子
15:29:FrankHB: 问题是默认我啥都没干还给我crash。
15:29:FrankHB: 默认行为是啥来着。
15:29:FrankHB: ExitProcess？
15:30:lh_bot: 控制台是这样
15:30:FrankHB: 带控制台窗口的GUI呢。
15:30:lh_bot: 一样的
15:31:FrankHB: 。。。
15:31:lh_bot: A process can use the SetProcessShutdownParameters function to prevent the system from displaying a dialog box to the user during logoff or shutdown. In this case, the system terminates the process when HandlerRoutine returns TRUE or when the time-out period elapses.
15:31:lh_bot: 呃 发错了
15:31:lh_bot: When a console application is run as a service, it receives a modified default console control handler. This modified handler does not call ExitProcess when processing the CTRL_LOGOFF_EVENT and CTRL_SHUTDOWN_EVENT signals. 
15:31:lh_bot: 非服务的：   Initially, this list contains only a default handler function that calls ExitProcess. 
15:32:lh_bot: POPOBE: 妹子妹子妹子
15:33:FrankHB: dt
15:33:POPOBE: lh_bot: ˊ_>ˋ
15:33:lh_bot: POPOBE: 妹子妹子妹子
15:34:FrankHB: 非DLL也SIGSEGV，看来不是死锁。。。
15:34:lh_bot: 你改了 CRT？
15:35:FrankHB: 没。
15:36:lh_bot: FrankHB: 直接调 ::GenerateConsoleCtrlEvent(CTRL_CLOSE_EVENT, 0); 有用么
15:36:lh_bot: 虽然文档只写了能产生 Ctrl-C 和 Ctrl-Break
15:36:FrankHB: 等会试试。
15:39:lh_bot: POPOBE: 妹子来喵一个
15:39:whatofor quit:Read error: Connection reset by peer
15:39:whatofor_1 joined channel
15:39:beefcafe: lh_bot: 妹子都被你吓跑了
15:40:lh_bot: beefcafe: 吓了一个星期了还没吓跑呢
15:40:beefcafe: lh_bot: 所以是对你恋恋不舍了？
15:41:T2: POPOBE: 揉捏推~
15:47:sismvg joined channel
15:48:lh_bot: POPOBE: ^ 
15:48:lh_bot: 有人叫你
15:51:sismvg: 现在卖吧主，一个会员就10元！
15:51:lh_bot: 真火星
15:52:FrankHB: 一个吱顶100元。
15:54:sismvg: 话说舰C吧不是只有几十人嘛
15:55:lh_bot: http://games.sina.com.cn/w/n/2015-01-15/1102850408.shtml
15:55:lh_bot: FrankHB: 滚
15:56:FrankHB: 那顶1元。
15:56:lh_bot: FrankHB: 把你丢出去喂羊驼
15:57:lh_bot: 宰了帝球钓妹子
15:59:FrankHB: lh_bot: 煋。http://tieba.baidu.com/p/3528469505
15:59:beefcafe quit:Ping timeout: 272 seconds
15:59:lh_cat joined channel
16:00:beefcafe joined channel
16:01:sismvg: c艹吧会作何活动
16:02:AngelC quit:Quit: Leaving
16:03:FrankHB: lh_bot: ::GenerateConsoleCtrlEvent(CTRL_CLOSE_EVENT, 0);没什么反应。
16:03:lh_bot: FrankHB: 返回什么
16:04:Guest38705 quit:Quit: Yaaic - Yet another Android IRC client - http://www.yaaic.org
16:05:FrankHB: 返回0。另外我注册了handler对Ctrl+C有反应，直接关闭倒是没crash窗口了。。
16:06:FrankHB: case CTRL_CLOSE_EVENT不干别的直接返回TRUE会有问题么。
16:06:sismvg: http://www.baidu.com/s?usm=1&tn=94186154_hao_pg&wd=%E8%89%BA%E6%9C%AF%E5%AE%B6%E7%88%B6%E4%BA%B2%E7%94%BB%E5%A5%B3%E5%84%BF%E8%A3%B8%E4%BD%93&rsv_idx=2&ie=utf-8&rsv_cq=70%E4%B8%87%E4%B9%B0%E8%B4%B4%E5%90%A7&rsv_dl=0_right_toplist_6698
16:06:sismvg: 鬼父？
16:06:FrankHB: Process terminated with status -1073741510
16:07:FrankHB: 看起来就是从控制台窗口退出了，不过不知道里面什么gui是不是挂了。
16:07:FrankHB: sismvg: 煋。
16:08:sismvg: 我很尽力的不火星，但是光速就那样我有什么不能发
16:08:sismvg: 办法
16:08:FrankHB: 为啥一星期前就在群里传来传去的东西现在突然一坨报道。。。
16:08:lh_bot: 你调用 ExitProcess 时候别的线程会被干掉
16:08:lh_bot: geordi: <<hex << -1073741510
16:08:FrankHB: 算了先增长质量去。。。。
16:08:geordi: c000013a
16:09:FrankHB: 等会再艹。。
16:09:lh_bot: FrankHB: exitprocess 是逗比
16:09:lh_bot: 这地方应该 ::TerminateProcess(::GetCurrentProcess(), ERROR_PROCESS_ABORTED);
16:10:sismvg: C艹吧的顶上怎么是宠物培训。。一般不都达内嘛
16:11:lhanjian quit:Ping timeout: 246 seconds
16:12:sismvg: http://www.ithome.com/html/android/123805.htm
16:12:sismvg: 不知道能不能装WP
16:12:lh_cat joined channel
16:15:whatofor_1 quit:Ping timeout: 276 seconds
16:15:lhanjian joined channel
16:17:beefcafe quit:Remote host closed the connection
16:18:beefcafe joined channel
16:31:lh_bot: POPOBE: 妹子妹子
16:32:beefcafe quit:Quit: Unwilling to leave, unable to stay...
16:43:izmntuk quit:Quit: Lost terminal
16:53:lh_bot: POPOBE: 妹子妹子
16:54:izmntuk joined channel
17:10:sismvg: http://tieba.baidu.com/p/3530153987
17:10:sismvg: 现实世界也要玩《一年战争》？
17:13:MoeIcenowy joined channel
17:15:lh_mouse quit:Read error: Connection timed out
17:16:sismvg: http://tieba.baidu.com/p/3530136992
17:16:sismvg: 世界非提是一家
17:16:lh_mouse joined channel
17:26:tutu quit:Ping timeout: 255 seconds
17:27:FrankHB: ok, cnm ExitProcess
17:28:lh_bot: 你看 MCF 基本都是直接 TerminateProcess 的
17:29:FrankHB: 直接exit呢。
17:30:lh_bot: exit 和 ExitProcess 有什么区别
17:30:tutu joined channel
17:30:FrankHB: 艹crt。
17:30:lh_bot: 那个地方另论
17:31:lh_bot: fopen 啥的 直接 ExitProcess 可能就丢了
17:31:FrankHB: 嘛，还有CTRL_LOGOFF_EVENT什么的dt货。。
17:33:FrankHB: CTRL_C_EVENT和CTRL_CLOSE_EVENT一般情况有必要区分么。
17:35:FrankHB: 算了，还是STATUS_CONTROL_C_EXIT吧
17:35:FrankHB: 。。。直接std::exit(STATUS_CONTROL_C_EXIT)正常。
17:36:FrankHB: 话说crt其实完全可以SetConsoleCtrlHandler搞一下避免坑。偷懒么。
17:36:FrankHB: 就是嫌破事多所以直接放任默认行为sb不鸟？
17:38:POPOBE quit:Quit: Connection closed for inactivity
17:40:lh_bot: 谁的 CRT
17:46:FrankHB: msvcrt
17:46:lh_bot: 默认行为怎么 SB 了
17:47:MoeIcenowy quit:Remote host closed the connection
17:48:FrankHB: <lh_bot> FrankHB: exitprocess 是逗比
17:51:lh_bot: 这个是没办法……
17:52:lh_bot: 我个人的想法是  TryExitProcess()
17:52:lh_bot: 当然没这种东西……
17:53:lh_bot: 不管是 ExitProcess 还是 TerminateProcess 都挺逗比的
17:54:tutu quit:Ping timeout: 276 seconds
17:55:lh_bot: 某种意义上讲在逗比这堆里面 ExitProcess 是最不逗比的
17:56:lh_bot: ExitProcess 会立即干掉其余的任何线程 然后试图关闭已打开的所有句柄（因此 WriteFile 一类是优雅关闭的）
17:56:lh_bot: Terminate 是丢数据
17:56:lh_bot: 至于 exit……你得保证没有其他线程在运行  所以不满足这个 pre-cond 基本都是作死  对于 Ctrl-C 尤其是这样
17:57:lh_bot: exit() 会导致静态对象析构就是最麻烦的事情  万一有别的线程在用呢……  满地 shared_ptr？
17:58:beefcafe joined channel
17:59:FrankHB: 那就_Exit。
17:59:lh_bot: _Exit 貌似就是 ExitProcess
17:59:lh_bot: 不过不管怎么说自动对象肯定都没机会析构了
17:59:FrankHB: quick_exit
18:00:lh_bot: libc 支持么
18:00:lh_bot: geordi: { quick_exit(0); }
18:00:geordi: <no output>
18:00:lh_bot: 哦 
18:00:lh_bot: geordi: { cout <<"hello"; quick_exit(0); }
18:00:geordi: hello
18:00:lh_bot: geordi: replace quick_exit with _Exit
18:00:geordi: hello
18:00:FrankHB: 先试试再说。。。
18:01:lh_bot: geordi: replace _Exit(0) with raise(SIGKILL)
18:01:geordi: hello
18:01:lh_bot: geordi: show
18:01:geordi: { cout <<"hello"; raise(SIGKILL); }
18:01:lh_bot: geordi: { cout.sync_with_stdio(false); cout <<"hello"; quick_exit(0); }
18:01:geordi: hello
18:01:lh_bot: geordi: { cout.sync_with_stdio(false); cout <<"hello"; _Exit(0); }
18:01:geordi: hello
18:02:lh_bot: geordi: { cout.sync_with_stdio(false); cout <<"hello"; raise(SIGKILL); }
18:02:geordi: hello
18:02:lh_bot: 人才呀
18:04:lh_bot: 妹子又跑了
18:04:lh_bot: QAQ
18:05:lh_cat quit:Ping timeout: 264 seconds
18:10:cleamoon joined channel
18:10:cleamoon: http://mtmos.com/v1/mss_3d027b52ec5a4d589e68050845611e68/ff/n0/0b/a9/20_407230.jpg
18:16:lh_cat joined channel
18:18:hoxily: geordi: { printf("hello world"); _exit(0);}
18:18:geordi: <no output>
18:18:hoxily: geordi: { printf("hello world"); exit(0);}
18:18:geordi: hello world
18:18:hoxily: geordi: { printf("hello world"); fflush(stdout);_exit(0);}
18:18:geordi: hello world
18:19:FrankHB: geordi: { printf("hello world"); _Exit(0);}
18:19:geordi: <no output>
18:19:FrankHB: geordi: { printf("hello world"); abort();}
18:19:geordi: hello world Aborted
18:19:FrankHB: geordi: { printf("hello world"); quick_exit(0);}
18:19:geordi: <no output>
18:20:FrankHB: 嘛，所有静态和线程对象生存期都统计一下得了，反正用得少也不费事。
18:20:FrankHB: 用户作死活该。
18:20:hoxily: geordi: { printf("hello world\n"); _exit(0);}
18:20:geordi: <no output>
18:21:hoxily: geordi: { printf("%s\n", "hello world"); _exit(0);}
18:21:lh_bot: FrankHB: 用户 Ctrl+C 谁作死？
18:21:geordi: <no output>
18:31:FrankHB: 全局对象没写干净的作死。
18:33:FrankHB: 算了，异步取消太麻烦，quick_exit吧。
18:34:lh_mouse quit:Read error: Connection reset by peer
18:34:FrankHB: 这样作死就仅限信号了。
18:34:lh_bot: FrankHB: 按你的逻辑就没法写任何静态对象
18:34:lh_mouse joined channel
18:34:lh_bot: 写了就等于作死 
18:36:FrankHB: lh_bot: 可以写，但是没法保证纯C艹可移植实现。
18:37:Plough joined channel
18:37:lh_bot: FrankHB: 跟可移植没什么关系
18:38:Plough: 最近莫名其妙地有一堆初中妹子来问我名字……
18:38:lh_bot: 比如 POSIX 那种是不注入线程的
18:38:FrankHB: 显然有关系。静态对象析构是C艹保证的，但没异步取消安全这玩意儿。
18:38:FrankHB: 试了下，_Exit没ExitProcess的破事。
18:38:lh_bot: FrankHB: 就算揪住 POSIX 说   丢你个 SIGINTR 你析构个蛋
18:39:lh_bot: 18:31:55 < FrankHB> 全局对象没写干净的作死。  // 静态了就作死  跟全局都没关系
18:39:lh_bot: 明确一点说 atexit 了全部都作死
18:40:lh_bot: quick_exit 有一样的问题
18:40:lh_bot: _Exit 怎么实现的我看一眼
18:41:boosure joined channel
18:41:FrankHB: atexit属于用户作死范畴。我保证不用。
18:41:lh_bot: 扯蛋
18:42:lh_bot: 你看没看 libgcc 的 do_global_dtor 怎么实现的
18:42:lh_bot: 除非你艹掉这货自己取而代之   否则根本无解
18:46:lh_bot: 就不说 global   局部 static 的析构都是这么干的
18:47:boosure quit:Quit: Get your hand off of it
18:47:FrankHB: 反正没at_quick_exit。
18:47:lh_bot: 有什么区别   万一被人 at_quick_exit 了呢
18:48:FrankHB: 那就是有意识作死了。
18:48:FrankHB: 否则at_quick_exit有毛用。
18:48:lh_bot: 那你把 at_quick_exit 从标准库里干掉算了
18:48:FrankHB: 否则quick_exit。。
18:48:lh_bot: 我一直就不觉得有用
18:48:FrankHB: N2440说了本来就是workaround。
18:49:lh_bot: workaround 还不赶紧滚出
18:49:lh_bot: 什么 bind1st 早就滚出了
18:49:FrankHB: 滚不滚出跟是不是workaround没关系。
18:49:FrankHB: 没resolved就滚不粗。
18:49:FrankHB: 不是没fixed就该滚粗。
18:50:FrankHB: bind1st能滚粗的必要条件是有bind这样的东西。
18:50:lh_bot: 改天我全换 libc++ 算了   还可以砍东西
18:50:lh_bot: bind 滚出
18:50:lh_bot: generic lambda 赛高
18:50:FrankHB: bind滚不了，因为lambda没有placeholder替代物。
18:50:lh_bot: auto
18:50:FrankHB: 不是这玩意儿。
18:51:lh_bot: 举个例子呢
18:51:FrankHB: bind(mouse, _1, _1, ref(_2), _2)要撸lambda毕竟废话多。
18:51:lh_bot: 多个猫猫
18:51:FrankHB: 特别是名字一长的时候。
18:52:lh_bot: [](auto p1, auto &&p2){ mouse(p1, p1, p2, p2); }
18:52:FrankHB: 而且本来lambda就是相当底层的东西。在正常情况下bind就该用lambda实现。不是滚粗的问题。
18:52:FrankHB: 你这玩意儿类型都不对。
18:52:lh_bot: bind 是 lambda 的子集
18:52:FrankHB: C艹比较奇葩罢了。
18:53:FrankHB: bind算不上。
18:53:lh_bot: 哪里不对
18:53:FrankHB: 充其量只是一种封装。
18:53:FrankHB: 你这个lambda什么类型的？
18:53:lh_bot: unique but unspecified
18:53:lh_bot: 哦对
18:53:lh_bot: 我看下
18:53:FrankHB: 哦，不算C艹那种意义的类型。那就讲怎么调用好了。
18:54:FrankHB: 然后比如说参数顺序掉个个儿，lambda也破事多。
18:54:FrankHB: 所以能用bind的地方还是该bind，就算有lambda。至于实现我忍了。
18:55:lh_bot: [a1=p1, a2=p1, &a3=p2, a4=p2]{ mouse(move(a1), move(a2), a3, move(a4)); }
18:55:lh_bot: 这样么
18:55:TwitchGG joined channel
18:55:lh_bot: 吃饭去了
18:55:cleamoon__ joined channel
18:55:FrankHB: 没move，你想多了。
18:56:TwitchGG quit:Remote host closed the connection
18:56:TwitchGG joined channel
18:57:yzld2002 joined channel
18:59:FrankHB: 嘛，不管怎么说反正破事就已经出来了。吱变成了bind→lambda的吱肉编译器。而且出来的效果不咋地，明显更罗嗦；还得想参数命名，dt。这种类型的破事无论如何都不值得光荣。
19:00:TwitchGG_ joined channel
19:04:TwitchGG quit:Ping timeout: 264 seconds
19:24:varna: 药娘呢
19:24:varna: 药娘快出来被肛
19:24:varna: Plough: 肛
19:43:elseJun joined channel
19:43:erhandsome quit:Ping timeout: 246 seconds
19:51:lh_bot: elseJun: 揉
19:53:lh_bot: condy: 爆照啦
19:53:lhanjian quit:Ping timeout: 264 seconds
19:53:Youmu: Yada!
19:54:lh_bot: condy: 爆照
19:54:* Youmu 刚刚补完樱花庄的宠物女孩
19:57:lhanjian joined channel
19:58:iyzsong: m.m
20:00:lh_bot: iyzsong: 揉
20:00:TwitchGG_ quit:Ping timeout: 244 seconds
20:01:TwitchGG joined channel
20:01:iyzsong: lh_bot: hi, what's your name?
20:02:lh_bot: 0.0
20:02:iyzsong: - -
20:08:Youmu: 233
20:09:elseJun: lh_bot, bot还会挑逗
20:10:lh_bot: elseJun: 揉
20:14:lh_bot: 妹子
20:14:condy quit:Quit: leaving
20:17:condy joined channel
20:17:lh_bot: condy: 揉
20:18:condy: O.O
20:18:condy: 刚更新完kernel..
20:18:lh_bot: condy: 拍
20:19:Youmu: O.O
20:19:varna: http://kancolle.doorblog.jp/archives/42906190.html
20:19:lh_bot: Airi的好爸爸
20:20:condy: 被发现了。
20:20:lh_bot: /kb condy
20:20:cleamoon: 2333
20:20:lh_bot: elseJun: 揉
20:21:lh_bot: 揉
20:21:varna: 啊，最新的鬼父我似乎看了
20:23:T2: = =
20:23:T2: 啊，头疼。
20:24:Plough quit:Quit: Reconnecting
20:25:Plough joined channel
20:25:varna: Plough: 你快脱裤让我泄欲
20:25:Plough: varna: 你自爆
20:25:varna: 我今天就睡了两个半小时实在很累了
20:25:varna: 求白丝肛旗酱
20:26:T2: 为毛？
20:26:cleamoon quit:Ping timeout: 256 seconds
20:26:varna: 别问了，先肛
20:27:T2: 2333
20:31:yzld2002 quit:Remote host closed the connection
20:31:yzld2002 joined channel
20:33:FrankHB quit:Remote host closed the connection
20:35:elseJun quit:Read error: Connection reset by peer
20:43:T2: 肛得有点头疼
20:43:T2: 去补银他妈
20:44:beefcafe quit:Remote host closed the connection
20:53:elseJun joined channel
20:53:lh_mouse quit:Read error: Connection reset by peer
20:54:FrankHB joined channel
20:54:sismvg quit:Quit: ChatZilla 0.9.91.1 [Firefox 34.0.5/20141126041045]
20:56:elseJun quit:Remote host closed the connection
20:59:T2 quit:Quit: KVIrc 4.2.0 Equilibrium http://www.kvirc.net/
20:59:TwitchGG_ joined channel
20:59:TwitchGG quit:Read error: Connection reset by peer
21:00:tutu joined channel
21:07:lh_bot: condy: 揉
21:08:Youmu: m.m
21:09:lh_mouse joined channel
21:11:cleamoon joined channel
21:17:blackskygg joined channel
21:19:lh_bot: Youmu: 揉
21:23:condy: m.m
21:23:* condy 我有影分身术
21:24:blackskygg: 舰娘吧被爆的来龙去脉究竟是怎么样的
21:24:blackskygg: 感觉最近有点热闹啊
21:27:lh_bot: blackskygg: 揉
21:27:varna: 私服运营花钱买了贴吧，用户闹起来了，还对私服进行了DDoS
21:27:varna: 就这么简单
21:27:lh_bot: @七十万
21:27:lh_bot: 七十码 七十万
21:28:lh_bot: 下一个就是七十驼
21:28:blackskygg: 私服…
21:28:lh_bot: 羊驼不是说破解了人家协议么
21:28:varna: 没
21:28:varna: 只是首页被人爆了而已
21:28:lh_bot: O.O ?
21:28:lh_bot: 我说舰娘的
21:28:blackskygg: 那么这私服合法吗
21:28:Plough: varna: 似乎逻辑服务器也被人DDos掉了
21:29:varna: 舰娘的协议上开源软件里都能找到
21:29:blackskygg: 那么凶残
21:29:varna: 压根不用破解
21:29:varna: 私服不合法，他们缺几个运营资质
21:29:Plough: api_opening_atack
21:29:lh_bot: 我认为我们应该推广 poseidon 协议
21:29:blackskygg: 那为何如此光明正大
21:30:varna: 我认为我们应该对poseidon保持沉默
21:30:varna: 他们想捞钱滚
21:30:lh_bot: 因为百度逗比
21:30:lh_bot: 给钱就办事
21:30:varna: VIP12 两万元
21:30:varna: 不是傻多速谁会定这个价
21:30:lh_bot: 21:30:18 < varna> 我认为我们应该对poseidon保持沉默 // 打你！QAQ
21:31:lh_bot: 七十万是运营很一般的游戏个把月就能捞回来
21:31:blackskygg: poseidon是你那个服务器？
clcn_logbot joined channel
21:31:lh:bot: 哦  我自己搞了个协议
clcn_logbot joined channel
tutu quit:Ping timeout: 265 seconds
tutu_ joined channel
21:37 clcn_logbot joined channel
21:39 Plough: 算了，明天再修Log
21:39 TwitchGG_ joined channel
21:39 Plough: 先这么挂着
21:42 clcn_logbot was kicked by :clcn_logbot
21:42 clcn_logbot joined channel
21:43 TwitchGG quit:Ping timeout: 245 seconds
21:46 clcn_logbot joined channel
21:46 Plough: .
21:46 hoxily quit:Quit: Leaving
21:47 TwitchGG_ quit:Ping timeout: 264 seconds
21:55 yzld2002 quit:Quit: yzld2002
21:55 yzld2002 joined channel
21:55 lhanjian quit:Quit: Leaving
21:56 lh_cat: FrankHB: 权限球
21:59 whocares_2_ joined channel
21:59 hoxily1 quit:Quit: Bye
22:00 xxxxxxxx joined channel
22:01 whocares_2 quit:Ping timeout: 276 seconds
22:09 tutu_ quit:Read error: Connection reset by peer
22:28 lh_cat: QAQ 妹子 呜呜
22:30 Stevearzh quit:Read error: Connection reset by peer
22:32 Stevearzh joined channel
22:42 lhanjian joined channel
22:45 cleamoon: http://mtmos.com/v1/mss_3d027b52ec5a4d589e68050845611e68/ff/n0/0b/aa/6r_447259.jpg
22:46 beefcafe joined channel
22:52 xxxxxxxx: cleamoon: 这是什么病....
22:53 cleamoon: 大概是疯了
22:55 lhanjian: cleamoon, 瑞士怎么了？
22:56 lhanjian: 瑞士货币取消了和欧元的挂钩
22:57 cleamoon: 不知道呀...
22:58 cleamoon: 我查查
23:03 cleamoon: 似乎瑞士经济挺不好的
23:08 erhandsome joined channel
23:09 tutu joined channel
23:13 Plough quit:Quit: 碎叫
23:28 lh_mouse: http://v.ifeng.com/news/world/201501/013eb0ae-44a3-4110-b2d6-210021aa03f8.shtml
23:29 lhanjian quit:Remote host closed the connection
